Year,Jury or Televoting,From country,To country,Points
1975,J,Norway,Belgium,0
1975,J,Norway,Finland,10
1975,J,Norway,France,0
1975,J,Norway,Germany,0
1975,J,Norway,Ireland,4
1975,J,Norway,Israel,5
1975,J,Norway,Italy,6
1975,J,Norway,Luxembourg,0
1975,J,Norway,Malta,2
1975,J,Norway,Monaco,0
1975,J,Norway,Portugal,0
1975,J,Norway,Spain,3
1975,J,Norway,Sweden,8
1975,J,Norway,Switzerland,1
1975,J,Norway,The Netherlands,12
1975,J,Norway,Turkey,0
1975,J,Norway,United Kingdom,7
1975,J,Norway,Yugoslavia,0
1975,J,Portugal,Belgium,0
1975,J,Portugal,Finland,0
1975,J,Portugal,France,12
1975,J,Portugal,Germany,0
1975,J,Portugal,Ireland,4
1975,J,Portugal,Israel,0
1975,J,Portugal,Italy,10
1975,J,Portugal,Luxembourg,8
1975,J,Portugal,Malta,0
1975,J,Portugal,Monaco,3
1975,J,Portugal,Norway,0
1975,J,Portugal,Spain,0
1975,J,Portugal,Sweden,6
1975,J,Portugal,Switzerland,2
1975,J,Portugal,The Netherlands,7
1975,J,Portugal,Turkey,0
1975,J,Portugal,United Kingdom,5
1975,J,Portugal,Yugoslavia,1
1975,J,Spain,Belgium,0
1975,J,Spain,Finland,1
1975,J,Spain,France,8
1975,J,Spain,Germany,4
1975,J,Spain,Ireland,3
1975,J,Spain,Israel,0
1975,J,Spain,Italy,7
1975,J,Spain,Luxembourg,6
1975,J,Spain,Malta,0
1975,J,Spain,Monaco,0
1975,J,Spain,Norway,0
1975,J,Spain,Portugal,2
1975,J,Spain,Sweden,5
1975,J,Spain,Switzerland,0
1975,J,Spain,The Netherlands,12
1975,J,Spain,Turkey,0
1975,J,Spain,United Kingdom,10
1975,J,Spain,Yugoslavia,0
1975,J,Sweden,Belgium,2
1975,J,Sweden,Finland,3
1975,J,Sweden,France,8
1975,J,Sweden,Germany,0
1975,J,Sweden,Ireland,10
1975,J,Sweden,Israel,6
1975,J,Sweden,Italy,1
1975,J,Sweden,Luxembourg,4
1975,J,Sweden,Malta,0
1975,J,Sweden,Monaco,0
1975,J,Sweden,Norway,0
1975,J,Sweden,Portugal,0
1975,J,Sweden,Spain,0
1975,J,Sweden,Switzerland,0
1975,J,Sweden,The Netherlands,12
1975,J,Sweden,Turkey,0
1975,J,Sweden,United Kingdom,5
1975,J,Sweden,Yugoslavia,7
1975,J,Switzerland,Belgium,0
1975,J,Switzerland,Finland,12
1975,J,Switzerland,France,3
1975,J,Switzerland,Germany,0
1975,J,Switzerland,Ireland,7
1975,J,Switzerland,Israel,2
1975,J,Switzerland,Italy,10
1975,J,Switzerland,Luxembourg,0
1975,J,Switzerland,Malta,4
1975,J,Switzerland,Monaco,0
1975,J,Switzerland,Norway,0
1975,J,Switzerland,Portugal,0
1975,J,Switzerland,Spain,5
1975,J,Switzerland,Sweden,1
1975,J,Switzerland,The Netherlands,6
1975,J,Switzerland,Turkey,0
1975,J,Switzerland,United Kingdom,8
1975,J,Switzerland,Yugoslavia,0
1975,J,The Netherlands,Belgium,5
1975,J,The Netherlands,Finland,0
1975,J,The Netherlands,France,8
1975,J,The Netherlands,Germany,0
1975,J,The Netherlands,Ireland,6
1975,J,The Netherlands,Israel,10
1975,J,The Netherlands,Italy,0
1975,J,The Netherlands,Luxembourg,12
1975,J,The Netherlands,Malta,1
1975,J,The Netherlands,Monaco,0
1975,J,The Netherlands,Norway,2
1975,J,The Netherlands,Portugal,0
1975,J,The Netherlands,Spain,0
1975,J,The Netherlands,Sweden,0
1975,J,The Netherlands,Switzerland,7
1975,J,The Netherlands,Turkey,0
1975,J,The Netherlands,United Kingdom,4
1975,J,The Netherlands,Yugoslavia,3
1975,J,Turkey,Belgium,0
1975,J,Turkey,Finland,0
1975,J,Turkey,France,1
1975,J,Turkey,Germany,0
1975,J,Turkey,Ireland,0
1975,J,Turkey,Israel,6
1975,J,Turkey,Italy,10
1975,J,Turkey,Luxembourg,5
1975,J,Turkey,Malta,2
1975,J,Turkey,Monaco,0
1975,J,Turkey,Norway,0
1975,J,Turkey,Portugal,12
1975,J,Turkey,Spain,3
1975,J,Turkey,Sweden,8
1975,J,Turkey,Switzerland,7
1975,J,Turkey,The Netherlands,4
1975,J,Turkey,United Kingdom,0
1975,J,Turkey,Yugoslavia,0
1975,J,United Kingdom,Belgium,0
1975,J,United Kingdom,Finland,4
1975,J,United Kingdom,France,8
1975,J,United Kingdom,Germany,0
1975,J,United Kingdom,Ireland,6
1975,J,United Kingdom,Israel,1
1975,J,United Kingdom,Italy,10
1975,J,United Kingdom,Luxembourg,3
1975,J,United Kingdom,Malta,0
1975,J,United Kingdom,Monaco,2
1975,J,United Kingdom,Norway,0
1975,J,United Kingdom,Portugal,0
1975,J,United Kingdom,Spain,0
1975,J,United Kingdom,Sweden,7
1975,J,United Kingdom,Switzerland,5
1975,J,United Kingdom,The Netherlands,12
1975,J,United Kingdom,Turkey,0
1975,J,United Kingdom,Yugoslavia,0
1975,J,Yugoslavia,Belgium,3
1975,J,Yugoslavia,Finland,5
1975,J,Yugoslavia,France,0
1975,J,Yugoslavia,Germany,0
1975,J,Yugoslavia,Ireland,1
1975,J,Yugoslavia,Israel,0
1975,J,Yugoslavia,Italy,10
1975,J,Yugoslavia,Luxembourg,7
1975,J,Yugoslavia,Malta,2
1975,J,Yugoslavia,Monaco,0
1975,J,Yugoslavia,Norway,0
1975,J,Yugoslavia,Portugal,0
1975,J,Yugoslavia,Spain,4
1975,J,Yugoslavia,Sweden,6
1975,J,Yugoslavia,Switzerland,0
1975,J,Yugoslavia,The Netherlands,8
1975,J,Yugoslavia,Turkey,0
1975,J,Yugoslavia,United Kingdom,12
1976,J,Austria,Belgium,3
1976,J,Austria,Finland,7
1976,J,Austria,France,12
1976,J,Austria,Germany,0
1976,J,Austria,Greece,0
1976,J,Austria,Ireland,2
1976,J,Austria,Israel,6
1976,J,Austria,Italy,1
1976,J,Austria,Luxembourg,0
1976,J,Austria,Monaco,5
1976,J,Austria,Norway,0
1976,J,Austria,Portugal,0
1976,J,Austria,Spain,0
1976,J,Austria,Switzerland,8
1976,J,Austria,The Netherlands,4
1976,J,Austria,United Kingdom,10
1976,J,Austria,Yugoslavia,0
1976,J,Belgium,Austria,3
1976,J,Belgium,Finland,0
1976,J,Belgium,France,10
1976,J,Belgium,Germany,1
1976,J,Belgium,Greece,2
1976,J,Belgium,Ireland,0
1976,J,Belgium,Israel,5
1976,J,Belgium,Italy,0
1976,J,Belgium,Luxembourg,6
1976,J,Belgium,Monaco,8
1976,J,Belgium,Norway,0
1976,J,Belgium,Portugal,0
1976,J,Belgium,Spain,0
1976,J,Belgium,Switzerland,7
1976,J,Belgium,The Netherlands,4
1976,J,Belgium,United Kingdom,12
1976,J,Belgium,Yugoslavia,0
1976,J,Finland,Austria,5
1976,J,Finland,Belgium,12
1976,J,Finland,France,3
1976,J,Finland,Germany,0
1976,J,Finland,Greece,4
1976,J,Finland,Ireland,0
1976,J,Finland,Israel,8
1976,J,Finland,Italy,6
1976,J,Finland,Luxembourg,0
1976,J,Finland,Monaco,2
1976,J,Finland,Norway,0
1976,J,Finland,Portugal,1
1976,J,Finland,Spain,0
1976,J,Finland,Switzerland,7
1976,J,Finland,The Netherlands,0
1976,J,Finland,United Kingdom,10
1976,J,Finland,Yugoslavia,0
1976,J,France,Austria,0
1976,J,France,Belgium,5
1976,J,France,Finland,0
1976,J,France,Germany,2
1976,J,France,Greece,8
1976,J,France,Ireland,3
1976,J,France,Israel,0
1976,J,France,Italy,10
1976,J,France,Luxembourg,0
1976,J,France,Monaco,0
1976,J,France,Norway,0
1976,J,France,Portugal,12
1976,J,France,Spain,1
1976,J,France,Switzerland,6
1976,J,France,The Netherlands,0
1976,J,France,United Kingdom,7
1976,J,France,Yugoslavia,4
1976,J,Germany,Austria,10
1976,J,Germany,Belgium,0
1976,J,Germany,Finland,6
1976,J,Germany,France,12
1976,J,Germany,Greece,0
1976,J,Germany,Ireland,1
1976,J,Germany,Israel,3
1976,J,Germany,Italy,0
1976,J,Germany,Luxembourg,0
1976,J,Germany,Monaco,7
1976,J,Germany,Norway,0
1976,J,Germany,Portugal,0
1976,J,Germany,Spain,0
1976,J,Germany,Switzerland,5
1976,J,Germany,The Netherlands,4
1976,J,Germany,United Kingdom,8
1976,J,Germany,Yugoslavia,2
1976,J,Greece,Austria,6
1976,J,Greece,Belgium,0
1976,J,Greece,Finland,0
1976,J,Greece,France,5
1976,J,Greece,Germany,0
1976,J,Greece,Ireland,8
1976,J,Greece,Israel,0
1976,J,Greece,Italy,10
1976,J,Greece,Luxembourg,0
1976,J,Greece,Monaco,0
1976,J,Greece,Norway,0
1976,J,Greece,Portugal,4
1976,J,Greece,Spain,1
1976,J,Greece,Switzerland,2
1976,J,Greece,The Netherlands,7
1976,J,Greece,United Kingdom,12
1976,J,Greece,Yugoslavia,3
1976,J,Ireland,Austria,10
1976,J,Ireland,Belgium,0
1976,J,Ireland,Finland,5
1976,J,Ireland,France,7
1976,J,Ireland,Germany,0
1976,J,Ireland,Greece,0
1976,J,Ireland,Israel,4
1976,J,Ireland,Italy,12
1976,J,Ireland,Luxembourg,6
1976,J,Ireland,Monaco,8
1976,J,Ireland,Norway,0
1976,J,Ireland,Portugal,0
1976,J,Ireland,Spain,0
1976,J,Ireland,Switzerland,1
1976,J,Ireland,The Netherlands,2
1976,J,Ireland,United Kingdom,3
1976,J,Ireland,Yugoslavia,0
1976,J,Israel,Austria,10
1976,J,Israel,Belgium,1
1976,J,Israel,Finland,6
1976,J,Israel,France,5
1976,J,Israel,Germany,0
1976,J,Israel,Greece,0
1976,J,Israel,Ireland,3
1976,J,Israel,Italy,2
1976,J,Israel,Luxembourg,0
1976,J,Israel,Monaco,7
1976,J,Israel,Norway,0
1976,J,Israel,Portugal,0
1976,J,Israel,Spain,0
1976,J,Israel,Switzerland,4
1976,J,Israel,The Netherlands,8
1976,J,Israel,United Kingdom,12
1976,J,Israel,Yugoslavia,0
1976,J,Italy,Austria,0
1976,J,Italy,Belgium,8
1976,J,Italy,Finland,0
1976,J,Italy,France,6
1976,J,Italy,Germany,0
1976,J,Italy,Greece,5
1976,J,Italy,Ireland,12
1976,J,Italy,Israel,10
1976,J,Italy,Luxembourg,0
1976,J,Italy,Monaco,7
1976,J,Italy,Norway,0
1976,J,Italy,Portugal,1
1976,J,Italy,Spain,3
1976,J,Italy,Switzerland,0
1976,J,Italy,The Netherlands,2
1976,J,Italy,United Kingdom,4
1976,J,Italy,Yugoslavia,0
1976,J,Luxembourg,Austria,5
1976,J,Luxembourg,Belgium,0
1976,J,Luxembourg,Finland,0
1976,J,Luxembourg,France,10
1976,J,Luxembourg,Germany,2
1976,J,Luxembourg,Greece,0
1976,J,Luxembourg,Ireland,3
1976,J,Luxembourg,Israel,7
1976,J,Luxembourg,Italy,0
1976,J,Luxembourg,Monaco,12
1976,J,Luxembourg,Norway,0
1976,J,Luxembourg,Portugal,6
1976,J,Luxembourg,Spain,0
1976,J,Luxembourg,Switzerland,1
1976,J,Luxembourg,The Netherlands,4
1976,J,Luxembourg,United Kingdom,8
1976,J,Luxembourg,Yugoslavia,0
1976,J,Monaco,Austria,5
1976,J,Monaco,Belgium,8
1976,J,Monaco,Finland,7
1976,J,Monaco,France,12
1976,J,Monaco,Germany,0
1976,J,Monaco,Greece,0
1976,J,Monaco,Ireland,6
1976,J,Monaco,Israel,1
1976,J,Monaco,Italy,0
1976,J,Monaco,Luxembourg,0
1976,J,Monaco,Norway,0
1976,J,Monaco,Portugal,0
1976,J,Monaco,Spain,3
1976,J,Monaco,Switzerland,4
1976,J,Monaco,The Netherlands,2
1976,J,Monaco,United Kingdom,10
1976,J,Monaco,Yugoslavia,0
1976,J,Norway,Austria,2
1976,J,Norway,Belgium,6
1976,J,Norway,Finland,4
1976,J,Norway,France,8
1976,J,Norway,Germany,0
1976,J,Norway,Greece,0
1976,J,Norway,Ireland,0
1976,J,Norway,Israel,7
1976,J,Norway,Italy,3
1976,J,Norway,Luxembourg,0
1976,J,Norway,Monaco,5
1976,J,Norway,Portugal,0
1976,J,Norway,Spain,0
1976,J,Norway,Switzerland,10
1976,J,Norway,The Netherlands,1
1976,J,Norway,United Kingdom,12
1976,J,Norway,Yugoslavia,0
1976,J,Portugal,Austria,0
1976,J,Portugal,Belgium,8
1976,J,Portugal,Finland,0
1976,J,Portugal,France,5
1976,J,Portugal,Germany,0
1976,J,Portugal,Greece,1
1976,J,Portugal,Ireland,0
1976,J,Portugal,Israel,2
1976,J,Portugal,Italy,10
1976,J,Portugal,Luxembourg,0
1976,J,Portugal,Monaco,3
1976,J,Portugal,Norway,4
1976,J,Portugal,Spain,0
1976,J,Portugal,Switzerland,7
1976,J,Portugal,The Netherlands,6
1976,J,Portugal,United Kingdom,12
1976,J,Portugal,Yugoslavia,0
1976,J,Spain,Austria,8
1976,J,Spain,Belgium,0
1976,J,Spain,Finland,6
1976,J,Spain,France,10
1976,J,Spain,Germany,2
1976,J,Spain,Greece,0
1976,J,Spain,Ireland,5
1976,J,Spain,Israel,1
1976,J,Spain,Italy,0
1976,J,Spain,Luxembourg,0
1976,J,Spain,Monaco,7
1976,J,Spain,Norway,0
1976,J,Spain,Portugal,0
1976,J,Spain,Switzerland,4
1976,J,Spain,The Netherlands,3
1976,J,Spain,United Kingdom,12
1976,J,Spain,Yugoslavia,0
1976,J,Switzerland,Austria,3
1976,J,Switzerland,Belgium,6
1976,J,Switzerland,Finland,0
1976,J,Switzerland,France,10
1976,J,Switzerland,Germany,2
1976,J,Switzerland,Greece,0
1976,J,Switzerland,Ireland,0
1976,J,Switzerland,Israel,7
1976,J,Switzerland,Italy,8
1976,J,Switzerland,Luxembourg,0
1976,J,Switzerland,Monaco,5
1976,J,Switzerland,Norway,0
1976,J,Switzerland,Portugal,0
1976,J,Switzerland,Spain,0
1976,J,Switzerland,The Netherlands,4
1976,J,Switzerland,United Kingdom,12
1976,J,Switzerland,Yugoslavia,1
1976,J,The Netherlands,Austria,7
1976,J,The Netherlands,Belgium,4
1976,J,The Netherlands,Finland,1
1976,J,The Netherlands,France,12
1976,J,The Netherlands,Germany,0
1976,J,The Netherlands,Greece,0
1976,J,The Netherlands,Ireland,0
1976,J,The Netherlands,Israel,2
1976,J,The Netherlands,Italy,0
1976,J,The Netherlands,Luxembourg,5
1976,J,The Netherlands,Monaco,8
1976,J,The Netherlands,Norway,3
1976,J,The Netherlands,Portugal,0
1976,J,The Netherlands,Spain,0
1976,J,The Netherlands,Switzerland,6
1976,J,The Netherlands,United Kingdom,10
1976,J,The Netherlands,Yugoslavia,0
1976,J,United Kingdom,Austria,4
1976,J,United Kingdom,Belgium,7
1976,J,United Kingdom,Finland,2
1976,J,United Kingdom,France,8
1976,J,United Kingdom,Germany,0
1976,J,United Kingdom,Greece,0
1976,J,United Kingdom,Ireland,10
1976,J,United Kingdom,Israel,6
1976,J,United Kingdom,Italy,1
1976,J,United Kingdom,Luxembourg,0
1976,J,United Kingdom,Monaco,5
1976,J,United Kingdom,Norway,0
1976,J,United Kingdom,Portugal,0
1976,J,United Kingdom,Spain,3
1976,J,United Kingdom,Switzerland,12
1976,J,United Kingdom,The Netherlands,0
1976,J,United Kingdom,Yugoslavia,0
1976,J,Yugoslavia,Austria,2
1976,J,Yugoslavia,Belgium,0
1976,J,Yugoslavia,Finland,0
1976,J,Yugoslavia,France,12
1976,J,Yugoslavia,Germany,3
1976,J,Yugoslavia,Greece,0
1976,J,Yugoslavia,Ireland,1
1976,J,Yugoslavia,Israel,8
1976,J,Yugoslavia,Italy,6
1976,J,Yugoslavia,Luxembourg,0
1976,J,Yugoslavia,Monaco,4
1976,J,Yugoslavia,Norway,0
1976,J,Yugoslavia,Portugal,0
1976,J,Yugoslavia,Spain,0
1976,J,Yugoslavia,Switzerland,7
1976,J,Yugoslavia,The Netherlands,5
1976,J,Yugoslavia,United Kingdom,10
1977,J,Austria,Belgium,0
1977,J,Austria,Finland,6
1977,J,Austria,France,7
1977,J,Austria,Germany,2
1977,J,Austria,Greece,4
1977,J,Austria,Ireland,5
1977,J,Austria,Israel,3
1977,J,Austria,Italy,0
1977,J,Austria,Luxembourg,0
1977,J,Austria,Monaco,8
1977,J,Austria,Norway,0
1977,J,Austria,Portugal,0
1977,J,Austria,Spain,1
1977,J,Austria,Sweden,0
1977,J,Austria,Switzerland,10
1977,J,Austria,The Netherlands,0
1977,J,Austria,United Kingdom,12
1977,J,Belgium,Austria,0
1977,J,Belgium,Finland,0
1977,J,Belgium,France,4
1977,J,Belgium,Germany,0
1977,J,Belgium,Greece,6
1977,J,Belgium,Ireland,3
1977,J,Belgium,Israel,1
1977,J,Belgium,Italy,0
1977,J,Belgium,Luxembourg,0
1977,J,Belgium,Monaco,2
1977,J,Belgium,Norway,5
1977,J,Belgium,Portugal,0
1977,J,Belgium,Spain,7
1977,J,Belgium,Sweden,0
1977,J,Belgium,Switzerland,8
1977,J,Belgium,The Netherlands,10
1977,J,Belgium,United Kingdom,12
1977,J,Finland,Austria,1
1977,J,Finland,Belgium,3
1977,J,Finland,France,12
1977,J,Finland,Germany,0
1977,J,Finland,Greece,6
1977,J,Finland,Ireland,0
1977,J,Finland,Israel,0
1977,J,Finland,Italy,2
1977,J,Finland,Luxembourg,8
1977,J,Finland,Monaco,5
1977,J,Finland,Norway,0
1977,J,Finland,Portugal,0
1977,J,Finland,Spain,7
1977,J,Finland,Sweden,0
1977,J,Finland,Switzerland,10
1977,J,Finland,The Netherlands,0
1977,J,Finland,United Kingdom,4
1977,J,France,Austria,0
1977,J,France,Belgium,0
1977,J,France,Finland,4
1977,J,France,Germany,1
1977,J,France,Greece,3
1977,J,France,Ireland,10
1977,J,France,Israel,2
1977,J,France,Italy,7
1977,J,France,Luxembourg,0
1977,J,France,Monaco,5
1977,J,France,Norway,0
1977,J,France,Portugal,6
1977,J,France,Spain,0
1977,J,France,Sweden,0
1977,J,France,Switzerland,0
1977,J,France,The Netherlands,8
1977,J,France,United Kingdom,12
1977,J,Germany,Austria,0
1977,J,Germany,Belgium,8
1977,J,Germany,Finland,0
1977,J,Germany,France,12
1977,J,Germany,Greece,4
1977,J,Germany,Ireland,5
1977,J,Germany,Israel,0
1977,J,Germany,Italy,3
1977,J,Germany,Luxembourg,0
1977,J,Germany,Monaco,6
1977,J,Germany,Norway,0
1977,J,Germany,Portugal,1
1977,J,Germany,Spain,7
1977,J,Germany,Sweden,2
1977,J,Germany,Switzerland,0
1977,J,Germany,The Netherlands,0
1977,J,Germany,United Kingdom,10
1977,J,Greece,Austria,3
1977,J,Greece,Belgium,5
1977,J,Greece,Finland,2
1977,J,Greece,France,7
1977,J,Greece,Germany,8
1977,J,Greece,Ireland,10
1977,J,Greece,Israel,0
1977,J,Greece,Italy,0
1977,J,Greece,Luxembourg,0
1977,J,Greece,Monaco,12
1977,J,Greece,Norway,0
1977,J,Greece,Portugal,0
1977,J,Greece,Spain,4
1977,J,Greece,Sweden,0
1977,J,Greece,Switzerland,6
1977,J,Greece,The Netherlands,1
1977,J,Greece,United Kingdom,0
1977,J,Ireland,Austria,0
1977,J,Ireland,Belgium,4
1977,J,Ireland,Finland,12
1977,J,Ireland,France,10
1977,J,Ireland,Germany,1
1977,J,Ireland,Greece,0
1977,J,Ireland,Israel,7
1977,J,Ireland,Italy,8
1977,J,Ireland,Luxembourg,2
1977,J,Ireland,Monaco,5
1977,J,Ireland,Norway,0
1977,J,Ireland,Portugal,0
1977,J,Ireland,Spain,0
1977,J,Ireland,Sweden,0
1977,J,Ireland,Switzerland,6
1977,J,Ireland,The Netherlands,3
1977,J,Ireland,United Kingdom,0
1977,J,Israel,Austria,0
1977,J,Israel,Belgium,6
1977,J,Israel,Finland,7
1977,J,Israel,France,10
1977,J,Israel,Germany,5
1977,J,Israel,Greece,3
1977,J,Israel,Ireland,12
1977,J,Israel,Italy,0
1977,J,Israel,Luxembourg,0
1977,J,Israel,Monaco,2
1977,J,Israel,Norway,0
1977,J,Israel,Portugal,0
1977,J,Israel,Spain,0
1977,J,Israel,Sweden,0
1977,J,Israel,Switzerland,4
1977,J,Israel,The Netherlands,1
1977,J,Israel,United Kingdom,8
1977,J,Italy,Austria,0
1977,J,Italy,Belgium,0
1977,J,Italy,Finland,0
1977,J,Italy,France,10
1977,J,Italy,Germany,6
1977,J,Italy,Greece,1
1977,J,Italy,Ireland,8
1977,J,Italy,Israel,0
1977,J,Italy,Luxembourg,0
1977,J,Italy,Monaco,12
1977,J,Italy,Norway,5
1977,J,Italy,Portugal,3
1977,J,Italy,Spain,7
1977,J,Italy,Sweden,0
1977,J,Italy,Switzerland,4
1977,J,Italy,The Netherlands,0
1977,J,Italy,United Kingdom,2
1977,J,Luxembourg,Austria,0
1977,J,Luxembourg,Belgium,4
1977,J,Luxembourg,Finland,0
1977,J,Luxembourg,France,10
1977,J,Luxembourg,Germany,2
1977,J,Luxembourg,Greece,6
1977,J,Luxembourg,Ireland,8
1977,J,Luxembourg,Israel,0
1977,J,Luxembourg,Italy,0
1977,J,Luxembourg,Monaco,1
1977,J,Luxembourg,Norway,3
1977,J,Luxembourg,Portugal,0
1977,J,Luxembourg,Spain,7
1977,J,Luxembourg,Sweden,0
1977,J,Luxembourg,Switzerland,5
1977,J,Luxembourg,The Netherlands,0
1977,J,Luxembourg,United Kingdom,12
1977,J,Monaco,Austria,5
1977,J,Monaco,Belgium,0
1977,J,Monaco,Finland,0
1977,J,Monaco,France,4
1977,J,Monaco,Germany,1
1977,J,Monaco,Greece,10
1977,J,Monaco,Ireland,8
1977,J,Monaco,Israel,7
1977,J,Monaco,Italy,6
1977,J,Monaco,Luxembourg,0
1977,J,Monaco,Norway,0
1977,J,Monaco,Portugal,2
1977,J,Monaco,Spain,0
1977,J,Monaco,Sweden,0
